Player,Inns,Wkts,Ave,Econ,SR,Z_Wkts,Z_Ave,Z_Econ,Z_SR,Overall_Score
SM Sharif,41.0,49.0,24.18,8.23,17.6,0.2009728178418586,-0.05075938686228373,1.106996931178645,-0.5553375060934951,-0.07498180509525187
IS Sodhi,39.0,47.0,24.06,8.16,17.6,0.0922398039334975,-0.07107836181315325,1.0187600979999987,-0.5553375060934951,-0.07502610653996322
M Morkel,44.0,47.0,25.34,7.5,20.2,0.0922398039334975,0.14565737099611994,0.18681281374419353,0.08335582844942088,-0.0808965523140592
Sohail Tanvir,57.0,54.0,26.92,7.18,22.4,0.47280535261276135,0.4131905411825666,-0.21655556650104552,0.6237886499857347,-0.0869045680136236
RD Berrington,37.0,27.0,22.55,7.48,18.0,-0.9950903351501135,-0.32675879661159213,0.16160228997886666,-0.4570769930868929,-0.09321420885762378
DJG Sammy,59.0,44.0,25.36,7.31,20.8,-0.07085971692904415,0.14904386682126475,-0.05268716202641743,0.23074659795932503,-0.09949075492080411
Samiullah Shinwari,38.0,28.0,24.57,6.51,22.6,-0.9407238281959329,0.015277281728041731,-1.0611081126395139,0.6729189064890366,-0.14195297594337436
Amir Hamza,31.0,29.0,24.68,6.75,21.9,-0.8863573212417524,0.03390300876633853,-0.7585818274555847,0.5009630087274815,-0.16566037781999693
Dawlat Zadran,34.0,40.0,24.5,7.93,18.5,-0.28832574474576633,0.0034245463400345657,0.7288390746987327,-0.33425135182863974,-0.17158450348897344
Shapoor Zadran,34.0,35.0,24.08,7.81,18.4,-0.5601582795166691,-0.06769186598800843,0.577575932106768,-0.3588164800802907,-0.1778064663887845
B Kumar,43.0,41.0,26.53,7.04,22.5,-0.23395923779158578,0.3471538725922411,-0.3930292328583371,0.6483537782373856,-0.20910941394071886
AU Rashid,38.0,39.0,25.64,7.51,20.4,-0.3426922516999469,0.19645480837329343,0.19941807562685698,0.13248608495272196,-0.21776280516320481
