Player,Innings,Runs,Average,Strike Rate,Z_Runs,Z_Average,Z_Strike Rate,Overall_Score
JA Morkel,38.0,572.0,21.18,142.28,-0.9450571125977741,-0.5670230572349115,1.1187592222766507,-0.13110698251867836
DJG Sammy,52.0,587.0,17.26,147.48,-0.9172403027920075,-1.0815049326466593,1.506924526557493,-0.16394023629372456
AD Mathews,57.0,1055.0,27.05,118.14,-0.04935583685208971,0.203387302118905,-0.6832235556732634,-0.17639736346881604
MH Cross,35.0,755.0,26.03,127.31,-0.6056920329674217,0.06951701821074614,0.0012910289912235328,-0.17829466192181734
G Gambhir,36.0,932.0,27.41,119.02,-0.2774536772593758,0.2506356376159022,-0.6175340426411211,-0.21478402742819824
LJ Wright,45.0,759.0,18.97,137.0,-0.5982742170192172,-0.8570753390359226,0.7246221440837946,-0.2435758039904484
MP O'Dowd,35.0,866.0,26.24,120.61,-0.39984764040474885,0.09707854725066085,-0.49884503613986303,-0.2672047097646503
Sabbir Rahman,43.0,946.0,24.89,120.81,-0.25149132144066033,-0.08010271086307859,-0.48391560135983036,-0.2718365445545231
JDP Oram,30.0,474.0,20.6,139.82,-1.1267936033287826,-0.6431453755356291,0.9351271744822512,-0.2782706014607202
DJ Bravo,59.0,1142.0,24.29,116.41,0.11198166002135655,-0.15884993669140754,-0.8123631665205442,-0.28641048106353173
CS MacLeod,47.0,1042.0,26.05,115.13,-0.0734637386837541,0.07214192573835704,-0.9079115491127518,-0.3030777873527163
Shafiqullah,42.0,494.0,16.46,145.29,-1.0897045235877605,-1.1865012337510976,1.3434472157161381,-0.31091951387424
RS Bopara,35.0,711.0,28.44,118.69,-0.6872880083976703,0.38581837528786667,-0.6421676100281745,-0.31454574771265936
Mushfiqur Rahim,76.0,1265.0,20.07,119.33,0.34007950042864266,-0.7127054250173197,-0.5943934187320706,-0.32233978110691586
ST Jayasuriya,30.0,629.0,23.29,129.15,-0.839353235335861,-0.29009531307195546,0.13864182896752214,-0.3302689064800981
BRM Taylor,38.0,818.0,24.78,120.64,-0.48886143178320196,-0.09453970226493878,-0.4966056209228581,-0.3600022516569996
AD Russell,39.0,465.0,17.88,141.33,-1.1434836892122426,-1.0001327992907199,1.0478444070714976,-0.36525736047715496
LMP Simmons,48.0,990.0,24.14,116.74,-0.16989534601041165,-0.17853674314848955,-0.7877295991334908,-0.37872056276413063
Samiullah Shinwari,55.0,985.0,21.88,118.81,-0.17916761594566716,-0.4751512937685281,-0.6332099491601547,-0.42917628629145
Kamran Akmal,53.0,987.0,21.0,119.63,-0.17545870797156496,-0.5906472249834102,-0.5719992665620223,-0.44603506650566577
DJ Hussey,36.0,756.0,22.9,121.34,-0.6038375789803706,-0.34128100986036924,-0.4443525991927444,-0.4631570626778281
Muhammad Usman,32.0,695.0,25.74,117.2,-0.716959272190488,0.03145585906038688,-0.7533918991394156,-0.4796317707565056
SJ Myburgh,32.0,741.0,24.7,116.69,-0.6316543887861371,-0.10503933237538286,-0.7914619578284987,-0.5093852263300062
J Charles,33.0,724.0,21.93,121.68,-0.663180106566006,-0.4685890249495006,-0.418972560066689,-0.5169138971940652
