Player,Player,Date,Opponent,Event_Name,Event_Stage,Venue,Toss_Decision,Dismissal_Kind,Dismissed_By,Caught_By,Wicket_Kinds
R Mutumbami,R Mutumbami,2015-10-13,Ireland,Ireland in Zimbabwe ODI Series,,Harare Sports Club,field,caught,CA Young,WTS Porterfield,
R Mutumbami,R Mutumbami,2016-06-11,India,India in Zimbabwe ODI Series,,Harare Sports Club,field,caught,YS Chahal,KL Rahul,
R Mutumbami,R Mutumbami,2016-06-13,India,India in Zimbabwe ODI Series,,Harare Sports Club,field,caught,JJ Bumrah,MS Dhoni,
R Mutumbami,R Mutumbami,2016-06-15,India,India in Zimbabwe ODI Series,,Harare Sports Club,bat,caught,JJ Bumrah,KL Rahul,
R Mutumbami,R Mutumbami,2019-07-04,Ireland,Zimbabwe tour of Netherlands and Ireland,,"Civil Service Cricket Club, Stormont",field,caught,SC Getkate,L Tucker,
R Mutumbami,R Mutumbami,2019-07-07,Ireland,Zimbabwe tour of Netherlands and Ireland,,"Civil Service Cricket Club, Stormont",bat,caught,WB Rankin,L Tucker,
R Mutumbami,R Mutumbami,2020-03-01,Bangladesh,Zimbabwe tour of Bangladesh,,Sylhet International Cricket Stadium,bat,run out,,,
R Mutumbami,R Mutumbami,2020-03-03,Bangladesh,Zimbabwe tour of Bangladesh,,Sylhet International Cricket Stadium,bat,lbw,Taijul Islam,,
R Mutumbami,R Mutumbami,2020-03-06,Bangladesh,Zimbabwe tour of Bangladesh,,Sylhet International Cricket Stadium,field,run out,,,
R Powell,R Powell,2016-11-16,Sri Lanka,Zimbabwe Tri-Nation Series,,Harare Sports Club,field,caught,N Pradeep,N Dickwella,
R Powell,R Powell,2016-11-19,Zimbabwe,Zimbabwe Tri-Nation Series,,Queens Sports Club,bat,bowled,SC Williams,,
R Powell,R Powell,2016-11-23,Sri Lanka,Zimbabwe Tri-Nation Series,,Queens Sports Club,field,lbw,KMDN Kulasekara,,
R Powell,R Powell,2016-11-25,Zimbabwe,Zimbabwe Tri-Nation Series,,Queens Sports Club,bat,caught,SC Williams,CR Ervine,
R Powell,R Powell,2017-06-30,India,India in West Indies ODI Series,,"Sir Vivian Richards Stadium, North Sound",field,caught,Kuldeep Yadav,HH Pandya,
R Powell,R Powell,2017-07-02,India,India in West Indies ODI Series,,"Sir Vivian Richards Stadium, North Sound",bat,caught,UT Yadav,RA Jadeja,
R Powell,R Powell,2017-07-06,India,India in West Indies ODI Series,,"Sabina Park, Kingston",bat,caught,UT Yadav,MS Dhoni,
R Powell,R Powell,2017-09-19,England,West Indies tour of England,,Old Trafford,bat,caught,CR Woakes,DJ Willey,
R Powell,R Powell,2017-09-24,England,West Indies tour of England,,County Ground,field,caught,AU Rashid,CR Woakes,caught
R Powell,R Powell,2017-09-27,England,West Indies tour of England,,Kennington Oval,field,Not Out,,,
R Powell,R Powell,2017-09-29,England,West Indies tour of England,,The Rose Bowl,field,bowled,LE Plunkett,,
R Powell,R Powell,2017-12-20,New Zealand,West Indies tour of New Zealand,,Cobham Oval (New),field,caught,DAJ Bracewell,KS Williamson,
R Powell,R Powell,2017-12-23,New Zealand,West Indies tour of New Zealand,,Hagley Oval,field,bowled,LH Ferguson,,
R Powell,R Powell,2017-12-26,New Zealand,West Indies tour of New Zealand,,Hagley Oval,bat,caught,MJ Santner,LH Ferguson,
R Powell,R Powell,2018-03-10,Ireland,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,caught,TJ Murtagh,GC Wilson,
R Powell,R Powell,2018-03-19,Zimbabwe,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,bat,Not Out,,,
R Powell,R Powell,2018-03-21,Scotland,ICC Cricket World Cup Qualifier (ICC Trophy),,Harare Sports Club,field,bowled,SM Sharif,,
R Powell,R Powell,2018-07-22,Bangladesh,Bangladesh tour of West Indies and United States of America,,Providence Stadium,bat,caught,Mustafizur Rahman,Mushfiqur Rahim,
